affiliation_name,dmp_id,is_pilot_dmp,is_a_match,notes,provenance,related_work,type,publisher,container,publication_date,title,location,authors,weighted_score
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,Unsure,"Compared research subject, location information, and authors. Article does not provide data availability statement or reference to grant number. Includes lead authors not mentioned in DMSP",crossref,https://doi.org/10.22541/au.172115218.83587966/v1,article,"Authorea, Inc.",[],2024-07-16,Evolutionary links between skull shape and body size suggest selective rather than allometric forces at work in a generalist group of lizards,,Julio Rivera | Jesualdo Fuentes-G. | Emilia Martins,22
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,Unsure,"Compared research subject, location information, and authors. Article does not provide data availability statement or reference to grant number. Includes lead authors not mentioned in DMSP",crossref,https://doi.org/10.1655/herpetologica-d-22-00016,article,Herpetologists League,"[""Herpetologica""]",2023-03-08,Specific Habitat Elements (Refuges and Leaf Litter) Are Better Predictors of Sceloporus Lizards in Central Mexico Than General Human Disturbance,"vol: 79, iss: 1",Jennifer Flores | Julio A. Rivera | J. Jaime Zúñiga-Vega | Heather L. Bateman | Emília P. Martins,17
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,"Data will be made available on request does not match DMSP language , only one matching author, NSF award IOS-1257562",crossref,https://doi.org/10.1016/j.aquatox.2024.106862,article,Elsevier BV,"[""Aquatic Toxicology""]",2024-03,Exposure to environmentally relevant concentrations of Bisphenol-A linked to loss of visual lateralization in adult zebrafish (Danio rerio),"vol: 268, pgs: 106862",Piyumika S. Suriyampola | Alexander J. Huang | Melissa Lopez | Otakuye Conroy-Ben | Emília P. Martins,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,Different NSF award IOS-1052247 and IOS-1050274 - verified on Dryad  and article,crossref,https://doi.org/10.1093/jeb/voad002,article,Oxford University Press (OUP),"[""Journal of Evolutionary Biology""]",2023-12-07,Vomeronasal organ volume increases with body size and is dissociated with the loss of a visual signal in Sceloporus lizards,"vol: 37, iss: 1, pgs: 89-99",Anastassia P Erudaitius | Jake A Pruett | Stephanie M Campos | Alison G Ossip-Drahos | Susan J Lannoo | J Jaime Zúñiga-Vega | Cuauhcihuatl Vital-García | Diana K Hews | Emília P Martins | Cristina Romero-Diaz,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,NSF IOS-1257562 verified in article funding statement - DOI did not resolve used library search https://search.lib.asu.edu/permalink/01ASU_INST/fdcm53/cdi_crossref_primary_10_1016_j_etap_2024_104419,crossref,https://doi.org/10.1016/j.etap.2024.104419,article,Elsevier BV,"[""Environmental Toxicology and Pharmacology""]",2024-04,Plants buffer some of the effects of a pair of cadmium-exposed zebrafish on the un-exposed majority,"vol: 107, pgs: 104419",Delia S. Shelton | Piyumika S. Suriyampola | Zoe M. Dinges | Stephen P. Glaholt | Joseph R. Shaw | Emília P. Martins,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,NSF IOS-1257562 verified in acknowledgments,crossref,https://doi.org/10.1038/s41598-023-42829-0,article,Springer Science and Business Media LLC,"[""Scientific Reports""]",2023-09-29,River zebrafish combine behavioral plasticity and generalized morphology with specialized sensory and metabolic physiology to survive in a challenging environment,"vol: 13, iss: 1",Piyumika S. Suriyampola | José Jaime Zúñiga-Vega | Nishad Jayasundara | Jennifer Flores | Melissa Lopez | Anuradha Bhat | Emília P. Martins,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,Unsure,"Compared research subject, location information, and authors. Article does not provide data availability statement or reference to grant number. Includes lead authors not mentioned in DMSP. Same article as above",openalex,https://doi.org/10.1655/herpetologica-d-22-00016,article,Herpetologists' League,Herpetologica,2023-03-08,Specific Habitat Elements (Refuges and Leaf Litter) Are Better Predictors of Sceloporus Lizards in Central Mexico Than General Human Disturbance,"vol: 79, iss: 1",Jennifer Flores | Julio A. Rivera | J. Jaime Zúñiga‐Vega | Heather L. Bateman | Emı́lia P. Martins,17
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,Unsure,Preprint of article noted above  doi.org/10.22541/au.172115218.83587966/v1,openalex,https://doi.org/10.22541/au.172115218.83587966/v1,preprint,,,2024-07-16,Evolutionary links between skull shape and body size suggest selective rather than allometric forces at work in a generalist group of lizards,,Julio A. Rivera | Jesualdo A. Fuentes-González | Emı́lia P. Martins,17
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,Same article as above - data available upon request NSF award IOS-1257562,openalex,https://doi.org/10.1016/j.aquatox.2024.106862,article,Elsevier BV,Aquatic Toxicology,2024-03-01,Exposure to environmentally relevant concentrations of Bisphenol-A linked to loss of visual lateralization in adult zebrafish (Danio rerio),"vol: 268, pgs: 106862-106862",Piyumika S. Suriyampola | Alexander J. Huang | Melissa López | Otakuye Conroy‐Ben | Emı́lia P. Martins,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,same article as above - NSF award IOS-1052247 and IOS-1050274- verified on Dryad  and article,openalex,https://doi.org/10.1093/jeb/voad002,article,Oxford University Press,Journal of Evolutionary Biology,2023-12-07,Vomeronasal organ volume increases with body size and is dissociated with the loss of a visual signal in Sceloporus lizards,,Anastassia P Erudaitius | Jake A. Pruett | Stephanie M. Campos | Alison G. Ossip‐Drahos | Susan J. Lannoo | J. Jaime Zúñiga‐Vega | Cuauhcihuatl Vital‐García | Diana K. Hews | Emı́lia P. Martins | Cristina Romero‐Diaz,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,Same article as above NSF IOS-1257562 verified in article funding statement,openalex,https://doi.org/10.1016/j.etap.2024.104419,article,Elsevier BV,Environmental Toxicology and Pharmacology,2024-04-01,Plants buffer some of the effects of a pair of cadmium-exposed zebrafish on the un-exposed majority,"vol: 107, pgs: 104419-104419",Delia S. Shelton | Piyumika S. Suriyampola | Zoe M. Dinges | Stephen Glaholt | Joseph R. Shaw | Emı́lia P. Martins,10
Arizona State University,https://doi.org/10.48321/D190AA982F,TRUE,No,Same article as above - NSF IOS-1257562 verified in acknowledgments,openalex,https://doi.org/10.1038/s41598-023-42829-0,article,Nature Portfolio,Scientific Reports,2023-09-29,River zebrafish combine behavioral plasticity and generalized morphology with specialized sensory and metabolic physiology to survive in a challenging environment,"vol: 13, iss: 1",Piyumika S. Suriyampola | J. Jaime Zúñiga‐Vega | Nishad Jayasundara | Jennifer Flores | Melissa López | Anuradha Bhat | Emı́lia P. Martins,10
Arizona State University,https://doi.org/10.48321/D14D23,FALSE,No,Different project and collaborators. Article was published shortly after project start date. Data not yet submitted to ASU repository or OSF,crossref,https://doi.org/10.30535/mto.30.1.8,article,Society for Music Theory,"[""Music Theory Online""]",2024-03,Diversity in Music Corpus Studies,"vol: 30, iss: 1",Nicholas Shea | Lindsey Reymore | Christopher Wm. White | Leigh VanHandel | Ben Duinker | Nicole Biamonte,12
Arizona State University,https://doi.org/10.48321/D14D23,FALSE,No,Same article as above,openalex,https://doi.org/10.30535/mto.30.1.8,article,Society for Music Theory,Music Theory Online,2024-03-01,Diversity in Music Corpus Studies,"vol: 30, iss: 1",Nicholas Shea | Lindsey Reymore | Christopher W. White | Leigh VanHandel | Ben Duinker | Nicole Biamonte,12
Arizona State University,https://doi.org/10.48321/D17352,FALSE,No,The article data availability statement does not match; different collaborators and project.  DMSP indicates project is still in 'planned' stage.,openalex,https://doi.org/10.1016/j.biomaterials.2024.122505,article,Elsevier BV,Biomaterials,2024-04-01,Biomimetic nanodrug targets inflammation and suppresses YAP/TAZ to ameliorate atherosclerosis,"vol: 306, pgs: 122505-122505",Hui-Chun Huang | Ting-Yun Wang | Joshua Rousseau | Mario Orlando | Michelle Mungaray | Chamonix Michaud | Christopher Plaisier | Zhen Chen | Kuei-Chun Wang,12
Arizona State University,https://doi.org/10.48321/D17352,FALSE,No,Different project and lead author.  Article published to close to project start date of January 2024.,openalex,https://doi.org/10.1101/2024.04.16.589816,preprint,Cold Spring Harbor Laboratory,bioRxiv (Cold Spring Harbor Laboratory),2024-04-20,Breaking out of the cell cycle: Including quiescence in cell cycle classification,,Samantha O’Connor | L R García | Anoop P. Patel | Jean‐Philippe Hugnot | Patrick J. Paddison | Christopher Plaisier,12
Arizona State University,https://doi.org/10.48321/D17352,FALSE,No,Same article as above,crossref,https://doi.org/10.1016/j.biomaterials.2024.122505,article,Elsevier BV,"[""Biomaterials""]",2024-04,Biomimetic nanodrug targets inflammation and suppresses YAP/TAZ to ameliorate atherosclerosis,"vol: 306, pgs: 122505",Hui-Chun Huang | Ting-Yun Wang | Joshua Rousseau | Mark Orlando | Michelle Mungaray | Chamonix Michaud | Christopher Plaisier | Zhen Bouman Chen | Kuei-Chun Wang,12
Arizona State University,https://doi.org/10.48321/D17352,FALSE,No,Same article as above,crossref,https://doi.org/10.1101/2024.04.16.589816,article,Cold Spring Harbor Laboratory,[],2024-04-20,Breaking out of the cycle: Including quiescence in cell cycle classification,,Samantha A. O’Connor | Leonor Garcia | Anoop P. Patel | Jean-Philippe Hugnot | Patrick J. Paddison | Christopher L. Plaisier,12
