label,uri,description,display_order,is_default
"Conceptualization","https://credit.niso.org/contributor-roles/conceptualization/","Ideas; formulation or evolution of overarching research goals and aims.",6,0
"Data Curation","https://credit.niso.org/contributor-roles/data-curation/","An individual engaged in management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",3,0
"Formal analysis","https://credit.niso.org/contributor-roles/formal-analysis/","Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data.",8,0
"Funding acquisition","https://credit.niso.org/contributor-roles/funding-acquisition/","Acquisition of the financial support for the project leading to this publication.",12,0
"Investigation","https://credit.niso.org/contributor-roles/investigation/","An individual conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",1,0
"Methodology","https://credit.niso.org/contributor-roles/methodology/","Development or design of methodology; creation of models.",7,0
"Project Administrator","https://credit.niso.org/contributor-roles/project-administration/","An individual with management and coordination responsibility for the research activity planning and execution.",2,0
"Resources","https://credit.niso.org/contributor-roles/resources/","Provision of study materials, reagents, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",11,0
"Software","https://credit.niso.org/contributor-roles/software/","Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.",4,0
"Supervision","https://credit.niso.org/contributor-roles/supervision/","Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",5,0
"Validation","https://credit.niso.org/contributor-roles/validation/","Verification, either in a formal analysis or through a different approach, of the results of the study.",9,0
"Visualization","https://credit.niso.org/contributor-roles/visualization/","Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",10,0
"Writing - original draft","https://credit.niso.org/contributor-roles/writing-original-draft/","Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",13,0
"Writing - review and editing","https://credit.niso.org/contributor-roles/writing-review-editing/","Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision including pre-or post-publication stages.",14,0
"No Role Assigned","http://dmptool.org/contributor_roles/other","",99,1
