"id","plan_id","identifier_type","value"
270,53742,"DOI","10.1038/s41431-020-0635-7"
496,61691,"DOI","10.55702/3m.v26i50.54554"
66,70928,"DOI","10.13173/zeitarabling.61.0071"
83,71272,"DOI","10.1088/0953-4075/47/2/025601"
119,71414,"DOI","10.1210/jcem-24-10-1076"
120,71414,"DOI","10.1210/jcem-25-10-1317"
235,71477,"DOI","10.1177/0094582x231179931"
236,71477,"DOI","10.1093/ia/iiad039"
247,71477,"DOI","10.1590/s0102-64451998000200003"
248,71477,"DOI","10.5860/choice.48-4123"
249,71477,"DOI","10.1525/curh.2021.120.823.43"
250,71477,"DOI","10.5860/choice.191190"
251,71477,"DOI","10.1017/cbo9780511628283.002"
269,71823,"DOI","10.22533/at.ed.43820120516"
494,72107,"DOI","10.6084/m9.figshare.21391155.v1"
506,72107,"DOI","10.5281/zenodo.6485627"
328,72613,"DOI","10.5670/oceanog.2013.53"
340,72997,"DOI","10.26512/2015.08.t.19697"
597,78147,"DOI","10.1016/j.procs.2022.10.179"
648,96818,"DOI","10.5281/zenodo.7781484"
649,96818,"DOI","10.58079/sfbr"
,96818,"DOI","10.18710/tafusv"
728,102901,"DOI","10.58079/p4zm"
,102901,"DOI","10.21949/h8v4-xp53"
,102901,"DOI","10.21949/mjxe-8f28"
797,138058,"DOI","10.6084/m9.figshare.28732166"
798,138058,"DOI","10.6084/m9.figshare.28732544"
